Unnamed: 0,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
159,Africa,Ethiopia,Addis Ababa,10,62.7,17.06
160,Africa,Ethiopia,Addis Ababa,11,59.7,15.39
161,Africa,Ethiopia,Addis Ababa,12,56.9,13.83
162,Africa,Ethiopia,Addis Ababa,13,67.2,19.56
163,Africa,Ethiopia,Addis Ababa,14,63.2,17.33
164,Africa,Ethiopia,Addis Ababa,15,60.6,15.89
165,Africa,Ethiopia,Addis Ababa,16,59.6,15.33
166,Africa,Ethiopia,Addis Ababa,17,53.9,12.17
167,Africa,Ethiopia,Addis Ababa,18,59.6,15.33
168,Africa,Ethiopia,Addis Ababa,19,-99.0,-72.78
169,Africa,Ethiopia,Addis Ababa,20,59.0,15.0
170,Africa,Ethiopia,Addis Ababa,21,65.1,18.39
171,Africa,Ethiopia,Addis Ababa,22,62.7,17.06
172,Africa,Ethiopia,Addis Ababa,23,63.3,17.39
173,Africa,Ethiopia,Addis Ababa,24,60.9,16.06
174,Africa,Ethiopia,Addis Ababa,25,65.5,18.61
175,Africa,Ethiopia,Addis Ababa,26,60.5,15.83
176,Africa,Ethiopia,Addis Ababa,27,59.1,15.06
177,Africa,Ethiopia,Addis Ababa,28,62.7,17.06
178,Africa,Ethiopia,Addis Ababa,29,60.0,15.56
179,Africa,Ethiopia,Addis Ababa,30,59.2,15.11
180,Africa,Gabon,Libreville,1,78.8,26.0
181,Africa,Gabon,Libreville,2,77.6,25.33
182,Africa,Gabon,Libreville,3,80.3,26.83
183,Africa,Gabon,Libreville,4,78.5,25.83
184,Africa,Gabon,Libreville,5,79.3,26.28
185,Africa,Gabon,Libreville,6,79.7,26.5
186,Africa,Gabon,Libreville,7,79.6,26.44
187,Africa,Gabon,Libreville,8,78.4,25.78
188,Africa,Gabon,Libreville,9,79.8,26.56
189,Africa,Gabon,Libreville,10,78.8,26.0
190,Africa,Gabon,Libreville,11,80.7,27.06
191,Africa,Gabon,Libreville,12,76.9,24.94
192,Africa,Gabon,Libreville,13,79.9,26.61
193,Africa,Gabon,Libreville,14,79.2,26.22
194,Africa,Gabon,Libreville,15,78.6,25.89
195,Africa,Gabon,Libreville,16,79.4,26.33
196,Africa,Gabon,Libreville,17,80.2,26.78
197,Africa,Gabon,Libreville,18,78.7,25.94
198,Africa,Gabon,Libreville,19,79.0,26.11
199,Africa,Gabon,Libreville,20,80.7,27.06
200,Africa,Gabon,Libreville,21,81.1,27.28
201,Africa,Gabon,Libreville,22,81.0,27.22
202,Africa,Gabon,Libreville,23,78.0,25.56
203,Africa,Gabon,Libreville,24,79.6,26.44
204,Africa,Gabon,Libreville,25,82.1,27.83
205,Africa,Gabon,Libreville,26,79.3,26.28
206,Africa,Gabon,Libreville,27,81.0,27.22
207,Africa,Gabon,Libreville,28,79.7,26.5
208,Africa,Gabon,Libreville,29,80.1,26.72
209,Africa,Gabon,Libreville,30,80.5,26.94
210,Africa,Gambia,Banjul,1,83.7,28.72
211,Africa,Gambia,Banjul,2,85.1,29.5
212,Africa,Gambia,Banjul,3,-99.0,-72.78
213,Africa,Gambia,Banjul,4,-99.0,-72.78
214,Africa,Gambia,Banjul,5,-99.0,-72.78
215,Africa,Gambia,Banjul,6,-99.0,-72.78
216,Africa,Gambia,Banjul,7,-99.0,-72.78
217,Africa,Gambia,Banjul,8,-99.0,-72.78
218,Africa,Gambia,Banjul,9,-99.0,-72.78
219,Africa,Gambia,Banjul,10,-99.0,-72.78
220,Africa,Gambia,Banjul,11,-99.0,-72.78
221,Africa,Gambia,Banjul,12,-99.0,-72.78
222,Africa,Gambia,Banjul,13,-99.0,-72.78
223,Africa,Gambia,Banjul,14,-99.0,-72.78
224,Africa,Gambia,Banjul,15,-99.0,-72.78
225,Africa,Gambia,Banjul,16,-99.0,-72.78
226,Africa,Gambia,Banjul,17,-99.0,-72.78
227,Africa,Gambia,Banjul,18,-99.0,-72.78
228,Africa,Gambia,Banjul,19,-99.0,-72.78
229,Africa,Gambia,Banjul,20,-99.0,-72.78
230,Africa,Gambia,Banjul,21,-99.0,-72.78
231,Africa,Gambia,Banjul,22,-99.0,-72.78
232,Africa,Gambia,Banjul,23,-99.0,-72.78
233,Africa,Gambia,Banjul,24,81.3,27.39
234,Africa,Gambia,Banjul,25,80.0,26.67
235,Africa,Gambia,Banjul,26,80.1,26.72
236,Africa,Gambia,Banjul,27,82.6,28.11
237,Africa,Gambia,Banjul,28,80.6,27.0
238,Africa,Gambia,Banjul,29,78.2,25.67
239,Africa,Gambia,Banjul,30,78.8,26.0
240,Africa,Guinea,Conakry,1,78.2,25.67
241,Africa,Guinea,Conakry,2,85.1,29.5
242,Africa,Guinea,Conakry,3,81.5,27.5
243,Africa,Guinea,Conakry,4,79.5,26.39
244,Africa,Guinea,Conakry,5,80.3,26.83
245,Africa,Guinea,Conakry,6,80.6,27.0
246,Africa,Guinea,Conakry,7,82.2,27.89
247,Africa,Guinea,Conakry,8,81.4,27.44
248,Africa,Guinea,Conakry,9,78.6,25.89
249,Africa,Guinea,Conakry,10,81.9,27.72
250,Africa,Guinea,Conakry,11,83.6,28.67
251,Africa,Guinea,Conakry,12,83.8,28.78
252,Africa,Guinea,Conakry,13,85.0,29.44
253,Africa,Guinea,Conakry,14,84.0,28.89
254,Africa,Guinea,Conakry,15,83.2,28.44
255,Africa,Guinea,Conakry,16,84.0,28.89
256,Africa,Guinea,Conakry,17,81.8,27.67
257,Africa,Guinea,Conakry,18,82.1,27.83
258,Africa,Guinea,Conakry,19,82.7,28.17
259,Africa,Guinea,Conakry,20,81.6,27.56
260,Africa,Guinea,Conakry,21,82.4,28.0
